clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref,gain,match_error,match_metric,limiter_target_dba
bass_heavy,original,65.72536974835664,-16.971063187283,11.297183456291807,0.8899999999992347,0.24239900557212138,,,,,,,
bass_heavy,proposed,65.54264690787284,-22.06066059546598,11.688454227526126,0.37090993642675396,0.09657078385975662,0.7559707444546231,-0.18272284048380527,-5.0895974081829785,,,,
bass_heavy,gain_matched_exposure,65.54264690787285,-17.153786027766866,11.297183456291805,0.8714728561023221,0.23735298168818086,0.18272284048380555,-0.18272284048379106,-0.18272284048386567,0.9791829843854735,1.4210854715202004e-14,laeq,
bass_heavy,gain_matched_loudness,60.63577234017366,-22.060660595465986,11.297183456291807,0.4953476833699356,0.13491211894542662,5.0895974081829785,-5.089597408182982,-5.089597408182986,0.5565704307532152,7.105427357601002e-15,lufs,
bass_heavy,limiter_matched_exposure,65.72536974835664,-16.971063187283,11.297183456291807,0.8899999999992347,0.24239900557212138,0.0,0.0,0.0,,0.18272284048380527,laeq,72.0
bass_heavy,limiter_matched_loudness,60.6637861856323,-22.073999864768243,12.066280083238723,0.5415477375899185,0.13499657236649976,5.094638617890748,-5.061583562724344,-5.102936677485243,,0.013339269302264256,lufs,61.875
speech_like,original,70.04034958851955,-22.70831246460622,18.425568828712468,0.49999999999962835,0.059936525426051546,,,,,,,
speech_like,proposed,69.92153786710418,-22.834236479380852,18.064691934861358,0.4720203586486805,0.05898290165507665,0.22213564466277838,-0.11881172141536922,-0.12592401477463255,,,,
speech_like,gain_matched_exposure,69.92153786710418,-22.82712418602159,18.425568828712468,0.49320721172228815,0.05912225317145378,0.11881172141536875,-0.11881172141536922,-0.11881172141536922,0.9864144234453095,0.0,laeq,
speech_like,gain_matched_loudness,69.91442557374492,-22.834236479380856,18.425568828712468,0.49280352266459065,0.059073861732511924,0.12592401477463236,-0.12592401477462545,-0.1259240147746361,0.9856070453299139,3.552713678800501e-15,lufs,
speech_like,limiter_matched_exposure,70.04034958851955,-22.70831246460622,18.425568828712468,0.49999999999962835,0.059936525426051546,0.0,0.0,0.0,,0.11881172141536922,laeq,84.0
speech_like,limiter_matched_loudness,70.04034958851955,-22.70831246460622,18.425568828712468,0.49999999999962835,0.059936525426051546,0.0,0.0,0.0,,0.12592401477463255,lufs,84.0
transient,original,58.56689173081946,-27.04205109976486,25.26790650678711,0.625951414886823,0.034130708221328396,,,,,,,
transient,proposed,58.47525873400174,-27.147320983209166,25.350325715571053,0.6155877549391929,0.03324862476329687,0.24822288068890888,-0.0916329968177152,-0.10526988344430777,,,,
transient,gain_matched_exposure,58.475258734001734,-27.133684096582574,25.26790650678711,0.6193825640872271,0.033772534208684,0.09163299681771526,-0.0916329968177223,-0.0916329968177152,0.98950581364085,7.105427357601002e-15,laeq,
transient,gain_matched_loudness,58.46162184737515,-27.147320983209166,25.26790650678711,0.6184108935799176,0.03371955277628602,0.10526988344430752,-0.10526988344430777,-0.10526988344430777,0.9879535038541789,0.0,lufs,
transient,limiter_matched_exposure,58.56689173081946,-27.04205109976486,25.26790650678711,0.625951414886823,0.034130708221328396,0.0,0.0,0.0,,0.0916329968177152,laeq,72.0
transient,limiter_matched_loudness,58.56689173081946,-27.04205109976486,25.26790650678711,0.625951414886823,0.034130708221328396,0.0,0.0,0.0,,0.10526988344430777,lufs,72.0
mixed,original,68.56467623936344,-16.82361220472716,11.642754907764774,0.8899999999985504,0.2329443929287483,,,,,,,
mixed,proposed,68.45562429511365,-20.806869623720726,14.116800290453053,0.5151612587061862,0.10141523027952544,0.7778387700930693,-0.10905194424978504,-3.983257418993567,,,,
mixed,gain_matched_exposure,68.45562429511367,-16.932664148977068,11.642754907764774,0.878895841137989,0.23003804287845384,0.10905194424978489,-0.10905194424977083,-0.10905194424990938,0.9875234170105849,1.4210854715202004e-14,laeq,
mixed,gain_matched_loudness,64.58141882036986,-20.806869623720825,11.642754907764774,0.562635506211235,0.14726155779185238,3.983257418993567,-3.983257418993574,-3.9832574189936665,0.6321747260810691,9.947598300641403e-14,lufs,
mixed,limiter_matched_exposure,68.56467623936344,-16.82361220472716,11.642754907764774,0.8899999999985504,0.2329443929287483,0.0,0.0,0.0,,0.10905194424978504,laeq,84.0
mixed,limiter_matched_loudness,63.65493803876121,-20.88701279704272,11.895635551926869,0.5805913395710925,0.1476008218821563,4.2491370018483545,-4.909738200602227,-4.06340059231556,,0.08014317332199283,lufs,65.25
165523__zemidlo__snare-roll-hit-crash,original,62.80777536704325,-23.205568513010057,25.508183898421994,0.6203636911857445,0.032903127204121745,,,,,,,
165523__zemidlo__snare-roll-hit-crash,proposed,62.77695251238016,-23.282053114388244,24.18466968537637,0.5132992279696997,0.03170568399626416,0.27660189074538216,-0.030822854663085764,-0.07648460137818702,,,,
165523__zemidlo__snare-roll-hit-crash,gain_matched_exposure,62.77695251238016,-23.236391367673146,25.508183898421994,0.6181661623658827,0.03278657368669001,0.02934563861093521,-0.030822854663085764,-0.030822854663089316,0.9964576765998966,0.0,laeq,
165523__zemidlo__snare-roll-hit-crash,gain_matched_loudness,62.731290765665065,-23.28205311438825,25.508183898421994,0.614924987975058,0.03261466682820155,0.07281900057212334,-0.07648460137818347,-0.07648460137819413,0.9912330407340715,7.105427357601002e-15,lufs,
165523__zemidlo__snare-roll-hit-crash,limiter_matched_exposure,62.80777536704325,-23.205568513010057,25.508183898421994,0.6203636911857445,0.032903127204121745,0.0,0.0,0.0,,0.030822854663085764,laeq,84.0
165523__zemidlo__snare-roll-hit-crash,limiter_matched_loudness,62.80777536704325,-23.205568513010057,25.508183898421994,0.6203636911857445,0.032903127204121745,0.0,0.0,0.0,,0.07648460137818702,lufs,84.0
179270__speedenza__poem-statue-of-jupiter-voice,original,62.16729946461852,-25.104971412324215,22.612838851034986,0.7067052376965423,0.05231140293840806,,,,,,,
179270__speedenza__poem-statue-of-jupiter-voice,proposed,61.96334532479331,-26.149153832126558,25.545046774028318,0.8506639002824071,0.04492681842185952,0.48877886575779633,-0.20395413982521404,-1.0441824198023433,,,,
179270__speedenza__poem-statue-of-jupiter-voice,gain_matched_exposure,61.96334532479331,-25.304084533127057,22.61283885103499,0.6903043387867691,0.051097383308077185,0.20186310752074238,-0.20395413982521404,-0.19911312080284205,0.9767924474944734,0.0,laeq,
179270__speedenza__poem-statue-of-jupiter-voice,gain_matched_loudness,61.12311704481618,-26.144312813104193,22.61283885103499,0.6266559810185166,0.046386034485426025,1.0303254503260733,-1.0441824198023397,-1.0393414007799784,0.8867289325052397,0.00484101902236489,lufs,
179270__speedenza__poem-statue-of-jupiter-voice,limiter_matched_exposure,62.131878761245034,-25.12920213825523,21.816149448253,0.643405067586494,0.05220078148383829,0.026002368633275062,-0.03542070337348946,-0.02423072593101594,,0.16853343645172458,laeq,78.0
