clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref,matched_to,gain,match_error,match_metric,limiter_target_dba
bass_heavy,original,65.72536974835664,-16.971063187283,11.297183456291807,0.8899999999992347,0.24239900557212138,,,,,,,,
bass_heavy,proposed,65.54264690787284,-22.06066059546598,11.688454227526126,0.37090993642675396,0.09657078385975662,0.7559707444546231,-0.18272284048380527,-5.0895974081829785,,,,,
bass_heavy,aligned,65.72535985469065,-16.971100794938017,11.14101286353794,0.8741407627937929,0.2423989473314539,0.057079342322726864,-9.893665989579858e-06,-3.7607655016813624e-05,,,,,
bass_heavy,gain_matched_exposure,65.54264690787285,-17.153786027766866,11.297183456291805,0.8714728561023221,0.23735298168818086,0.18272284048380555,-0.18272284048379106,-0.18272284048386567,proposed,0.9791829843854735,1.4210854715202004e-14,laeq,
bass_heavy,gain_matched_loudness,60.63577234017366,-22.060660595465986,11.297183456291807,0.4953476833699356,0.13491211894542662,5.0895974081829785,-5.089597408182982,-5.089597408182986,proposed,0.5565704307532152,7.105427357601002e-15,lufs,
bass_heavy,aligned_gain_matched_exposure,65.72535985469068,-16.97107308094906,11.297183456291807,0.889998986244964,0.2423987294675965,9.89366598938782e-06,-9.893665961158149e-06,-9.893666060634132e-06,aligned,0.9999988609502576,2.842170943040401e-14,laeq,
bass_heavy,aligned_gain_matched_loudness,65.72533214070162,-16.97110079493803,11.297183456291805,0.8899961465378278,0.2423979560494101,3.760765501678408e-05,-3.7607655016813624e-05,-3.760765503102448e-05,aligned,0.9999956702680821,1.4210854715202004e-14,lufs,
bass_heavy,limiter_matched_exposure,65.72536974835664,-16.971063187283,11.297183456291807,0.8899999999992347,0.24239900557212138,0.0,0.0,0.0,,,0.18272284048380527,laeq,72.0
bass_heavy,limiter_matched_loudness,60.6637861856323,-22.073999864768243,12.066280083238723,0.5415477375899185,0.13499657236649976,5.094638617890748,-5.061583562724344,-5.102936677485243,,,0.013339269302264256,lufs,61.875
speech_like,original,70.04034958851955,-22.70831246460622,18.425568828712468,0.49999999999962835,0.059936525426051546,,,,,,,,
speech_like,proposed,69.92153786710418,-22.834236479380852,18.064691934861358,0.4720203586486805,0.05898290165507665,0.22213564466277838,-0.11881172141536922,-0.12592401477463255,,,,,
speech_like,aligned,67.71774286040667,-24.916442241642713,19.935010097468925,0.45768733418536994,0.04611247037986056,0.9434431459762341,-2.3226067281128735,-2.2081297770364934,,,,,
speech_like,gain_matched_exposure,69.92153786710418,-22.82712418602159,18.425568828712468,0.49320721172228815,0.05912225317145378,0.11881172141536875,-0.11881172141536922,-0.11881172141536922,proposed,0.9864144234453095,0.0,laeq,
speech_like,gain_matched_loudness,69.91442557374492,-22.834236479380856,18.425568828712468,0.49280352266459065,0.059073861732511924,0.12592401477463236,-0.12592401477462545,-0.1259240147746361,proposed,0.9856070453299139,3.552713678800501e-15,lufs,
speech_like,aligned_gain_matched_exposure,67.71774286040667,-25.030919192719093,18.425568828712468,0.3826834388389543,0.04587343132423375,2.3226067281128735,-2.3226067281128735,-2.3226067281128735,aligned,0.7653668776784774,0.0,laeq,
speech_like,aligned_gain_matched_loudness,67.83221981148304,-24.916442241642716,18.42556882871247,0.3877604542550195,0.04648202865138109,2.208129777036493,-2.208129777036504,-2.208129777036497,aligned,0.7755209085106154,3.552713678800501e-15,lufs,
speech_like,limiter_matched_exposure,70.04034958851955,-22.70831246460622,18.425568828712468,0.49999999999962835,0.059936525426051546,0.0,0.0,0.0,,,0.11881172141536922,laeq,84.0
speech_like,limiter_matched_loudness,70.04034958851955,-22.70831246460622,18.425568828712468,0.49999999999962835,0.059936525426051546,0.0,0.0,0.0,,,0.12592401477463255,lufs,84.0
transient,original,58.56689173081946,-27.04205109976486,25.26790650678711,0.625951414886823,0.034130708221328396,,,,,,,,
transient,proposed,58.47525873400174,-27.147320983209166,25.350325715571053,0.6155877549391929,0.03324862476329687,0.24822288068890888,-0.0916329968177152,-0.10526988344430777,,,,,
transient,aligned,58.566890777146455,-27.042051146031394,25.282958754717143,0.6270369767572765,0.034130701491344506,0.01611493523525621,-9.536730019021888e-07,-4.626653549166804e-08,,,,,
transient,gain_matched_exposure,58.475258734001734,-27.133684096582574,25.26790650678711,0.6193825640872271,0.033772534208684,0.09163299681771526,-0.0916329968177223,-0.0916329968177152,proposed,0.98950581364085,7.105427357601002e-15,laeq,
transient,gain_matched_loudness,58.46162184737515,-27.147320983209166,25.26790650678711,0.6184108935799176,0.03371955277628602,0.10526988344430752,-0.10526988344430777,-0.10526988344430777,proposed,0.9879535038541789,0.0,lufs,
transient,aligned_gain_matched_exposure,58.566890777146455,-27.04205205343786,25.26790650678711,0.6259513461600769,0.034130704473924904,9.536730024783045e-07,-9.536730019021888e-07,-9.536730019021888e-07,aligned,0.9999998902043441,0.0,laeq,
transient,aligned_gain_matched_loudness,58.566891684552914,-27.04205114603139,25.26790650678711,0.6259514115526104,0.03413070803952669,4.62665348712362e-08,-4.6266542597095395e-08,-4.626653193895436e-08,aligned,0.9999999946733683,3.552713678800501e-15,lufs,
transient,limiter_matched_exposure,58.56689173081946,-27.04205109976486,25.26790650678711,0.625951414886823,0.034130708221328396,0.0,0.0,0.0,,,0.0916329968177152,laeq,72.0
transient,limiter_matched_loudness,58.56689173081946,-27.04205109976486,25.26790650678711,0.625951414886823,0.034130708221328396,0.0,0.0,0.0,,,0.10526988344430777,lufs,72.0
mixed,original,68.56467623936344,-16.82361220472716,11.642754907764774,0.8899999999985504,0.2329443929287483,,,,,,,,
mixed,proposed,68.45562429511365,-20.806869623720726,14.116800290453053,0.5151612587061862,0.10141523027952544,0.7778387700930693,-0.10905194424978504,-3.983257418993567,,,,,
mixed,aligned,68.13465708821839,-16.902125422832693,11.243888329487799,0.8478085729805748,0.23232898085732726,0.2742790828085298,-0.4300191511450464,-0.07851321810553458,,,,,
mixed,gain_matched_exposure,68.45562429511367,-16.932664148977068,11.642754907764774,0.878895841137989,0.23003804287845384,0.10905194424978489,-0.10905194424977083,-0.10905194424990938,proposed,0.9875234170105849,1.4210854715202004e-14,laeq,
mixed,gain_matched_loudness,64.58141882036986,-20.806869623720825,11.642754907764774,0.562635506211235,0.14726155779185238,3.983257418993567,-3.983257418993574,-3.9832574189936665,proposed,0.6321747260810691,9.947598300641403e-14,lufs,
mixed,aligned_gain_matched_exposure,68.13465708821839,-17.253631355872308,11.642754907764772,0.8470109972789085,0.22169265456789936,0.43001915114504713,-0.4300191511450464,-0.43001915114514944,aligned,0.9516977497531327,0.0,laeq,
mixed,aligned_gain_matched_loudness,68.48616302125791,-16.902125422832853,11.642754907764772,0.8819913903435668,0.23084825729471856,0.07851321810553494,-0.07851321810552747,-0.07851321810569445,aligned,0.991001562185397,1.5987211554602254e-13,lufs,
mixed,limiter_matched_exposure,68.56467623936344,-16.82361220472716,11.642754907764774,0.8899999999985504,0.2329443929287483,0.0,0.0,0.0,,,0.10905194424978504,laeq,84.0
