clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref
bass_heavy,original,65.72536974835664,-16.971063187283,11.297183456291807,0.8899999999992347,0.24239900557212138,,,
bass_heavy,broadband_limiter,65.72536974835664,-16.971063187283,11.297183456291807,0.8899999999992347,0.24239900557212138,0.0,0.0,0.0
bass_heavy,ablation_crossover_only,65.72535985469065,-16.971100794938017,11.14101286353794,0.8741407627937929,0.2423989473314539,0.057079342322726864,-9.893665989579858e-06,-3.7607655016813624e-05
bass_heavy,ablation_mid_only,65.72535985469065,-16.971100794938017,11.14101286353794,0.8741407627937929,0.2423989473314539,0.057079342322726864,-9.893665989579858e-06,-3.7607655016813624e-05
bass_heavy,ablation_mid_low,65.54264690787284,-22.06066059546598,11.688454227526126,0.37090993642675396,0.09657078385975662,0.7559707444546231,-0.18272284048380527,-5.0895974081829785
bass_heavy,ablation_mid_high,65.72535985469065,-16.971100794938017,11.14101286353794,0.8741407627937929,0.2423989473314539,0.057079342322726864,-9.893665989579858e-06,-3.7607655016813624e-05
bass_heavy,ablation_full,65.54264690787284,-22.06066059546598,11.688454227526126,0.37090993642675396,0.09657078385975662,0.7559707444546231,-0.18272284048380527,-5.0895974081829785
speech_like,original,70.04034958851955,-22.70831246460622,18.425568828712468,0.49999999999962835,0.059936525426051546,,,
speech_like,broadband_limiter,69.59220296908428,-23.146361453274007,18.662921051793493,0.48833161640000045,0.05695984390073571,0.33654419109156436,-0.44814661943526346,-0.43804898866778785
speech_like,ablation_crossover_only,70.04034958268113,-22.708144104377244,18.16992619462375,0.4854984776441944,0.05993652540081888,0.034643008533658065,-5.838415972903022e-09,0.00016836022897592784
speech_like,ablation_mid_only,69.92449942723107,-22.82021692544277,18.050859064028156,0.47272147642574314,0.059164660963274676,0.060363578697991346,-0.1158501612884777,-0.11190446083655203
speech_like,ablation_mid_low,69.92153786710418,-22.834236479380852,18.064691934861358,0.4720203586486805,0.05898290165507665,0.22213564466277838,-0.11881172141536922,-0.12592401477463255
speech_like,ablation_mid_high,69.92449942723107,-22.82021692544277,18.050859064028156,0.47272147642574314,0.059164660963274676,0.060363578697991346,-0.1158501612884777,-0.11190446083655203
speech_like,ablation_full,69.92153786710418,-22.834236479380852,18.064691934861358,0.4720203586486805,0.05898290165507665,0.22213564466277838,-0.11881172141536922,-0.12592401477463255
transient,original,58.56689173081946,-27.04205109976486,25.26790650678711,0.625951414886823,0.034130708221328396,,,
transient,broadband_limiter,58.56689173081946,-27.04205109976486,25.26790650678711,0.625951414886823,0.034130708221328396,0.0,0.0,0.0
transient,ablation_crossover_only,58.566890777146455,-27.042051146031394,25.282958754717143,0.6270369767572765,0.034130701491344506,0.01611493523525621,-9.536730019021888e-07,-4.626653549166804e-08
transient,ablation_mid_only,58.566890777146455,-27.042051146031394,25.282958754717143,0.6270369767572765,0.034130701491344506,0.01611493523525621,-9.536730019021888e-07,-4.626653549166804e-08
transient,ablation_mid_low,58.47525873400174,-27.147320983209166,25.350325715571053,0.6155877549391929,0.03324862476329687,0.24822288068890888,-0.0916329968177152,-0.10526988344430777
transient,ablation_mid_high,58.566890777146455,-27.042051146031394,25.282958754717143,0.6270369767572765,0.034130701491344506,0.01611493523525621,-9.536730019021888e-07,-4.626653549166804e-08
transient,ablation_full,58.47525873400174,-27.147320983209166,25.350325715571053,0.6155877549391929,0.03324862476329687,0.24822288068890888,-0.0916329968177152,-0.10526988344430777
mixed,original,68.56467623936344,-16.82361220472716,11.642754907764774,0.8899999999985504,0.2329443929287483,,,
mixed,broadband_limiter,68.56467623936344,-16.82361220472716,11.642754907764774,0.8899999999985504,0.2329443929287483,0.0,0.0,0.0
mixed,ablation_crossover_only,68.56467550090444,-16.823724522987696,11.220910857882762,0.8478085729805748,0.23294439274611967,0.051654374414638694,-7.384589935099939e-07,-0.00011231826053759164
mixed,ablation_mid_only,68.56467550090444,-16.823724522987696,11.220910857882762,0.8478085729805748,0.23294439274611967,0.051654374414638694,-7.384589935099939e-07,-0.00011231826053759164
mixed,ablation_mid_low,68.45562429511365,-20.806869623720726,14.116800290453053,0.5151612587061862,0.10141523027952544,0.7778387700930693,-0.10905194424978504,-3.983257418993567
mixed,ablation_mid_high,68.56467550090444,-16.823724522987696,11.220910857882762,0.8478085729805748,0.23294439274611967,0.051654374414638694,-7.384589935099939e-07,-0.00011231826053759164
mixed,ablation_full,68.45562429511365,-20.806869623720726,14.116800290453053,0.5151612587061862,0.10141523027952544,0.7778387700930693,-0.10905194424978504,-3.983257418993567
165523__zemidlo__snare-roll-hit-crash,original,62.80777536704325,-23.205568513010057,25.508183898421994,0.6203636911857445,0.032903127204121745,,,
165523__zemidlo__snare-roll-hit-crash,broadband_limiter,62.55941307073524,-23.53062648848146,25.686955705847566,0.6203636911857445,0.03223284101543506,0.1820795779783249,-0.24836229630800943,-0.32505797547140247
165523__zemidlo__snare-roll-hit-crash,ablation_crossover_only,62.80777536704325,-23.11338981645123,24.555090338579486,0.5558936247688636,0.03290312720412176,0.03523352120126465,0.0,0.09217869655882538
165523__zemidlo__snare-roll-hit-crash,ablation_mid_only,62.80777536704325,-23.11338981645123,24.555090338579486,0.5558936247688636,0.03290312720412176,0.03523352120126465,0.0,0.09217869655882538
