clip,dlaeq_s1_matched_lufs,dlceq_s1_matched_lufs,dlaeq_s2_matched_lufs,dlceq_s2_matched_lufs
165523__zemidlo__snare-roll-hit-crash,0.045661746715097706,-0.279687871001741,0.1991379605971062,0.2139795292948392
179270__speedenza__poem-statue-of-jupiter-voice,0.8402282799771257,-0.24250031707983055,-0.1809328807387871,0.014284256372860682
189635__klankbeeld__choir-amen-130525_14,0.0276677463121473,0.031142672682122452,-0.023641592719656046,0.12245768663846945
269906__theriavirra__02_crash_loud_cymbals__snares,-0.007609575822954184,-0.027558362065605024,0.02208698926432362,-0.13050714012230458
380303__evanboyerman__various-male-command-voice-lines-mixed,-0.11540183943117199,-0.03584187378842785,-1.1886657924552964,0.17738297811524717
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,1.4397727001602902,-0.39539062785769374,-0.07248153589314654,0.0009748145705970046
479941__liezen3__men-choir,0.03596995887633625,-0.005562615053676723,-0.009321774841296815,0.0010769239156473986
529808__logicogonist__bass-loop-and-drums-130-bpm,2.301682101106522,-0.43974553777051995,-0.6934661853883171,0.06619078363513609
541260__bertsz__drum-and-bass-loop,1.6119438752230764,-1.4296592803981127,-0.9568263591515063,0.2696904841492369
627643__asiilanna__female-vocal,-0.06867779995185685,0.05959885698834455,-0.16380755412559722,0.1244857575475038
628213__josefpres__bass-loops-033-with-drums-long-loop-120-bpm,1.5919660874724428,-0.09624623254359221,-0.004424197204784264,0.00022226688993498556
629137__holizna__funky-lofi-drum-loop-88-bpm,1.6338838756493175,-0.2684595665232621,-1.078533950766996,0.08426752434333196
629139__holizna__boombap-drums-90-bpm,2.6740826447987587,-1.7176578069118307,-0.5078928180430466,0.35971114622211076
657761__kevp888__221029_2225_fr_malechoir,0.22126286642845372,-0.04827005115833316,-1.6606656195961023e-05,-1.6606656785711493e-05
735157__jadis0x__simple-music-loop-bass-keys-drums,2.070791324441487,-1.032093408343485,-0.1840311729552866,0.01763130672952684
739037__acoustiangel__acoustiangel,0.3840434600482965,-0.4141161636456445,-0.0253178066436206,0.0016619146056484624
bass_heavy,4.906874567699177,-2.2310242101920608,2.7713989027233765e-05,-3.963063959133706e-05
mixed,3.874205474743789,-2.5339385745729857,-0.35150593303951894,0.04693174148130197
speech_like,0.007112293359256228,-0.01509467876491044,-0.11447695107636946,-0.08965201645361276
transient,0.01363688662659257,-0.38216873549065866,-9.074064593050934e-07,-3.670568112568162e-06
